event_id,victim_id,victim_type,victim_gender,party1,general_category_1,level_of_government,government_area,event_type,aggressor,date,state,Entity,Totalpopulation,Female_population,Male_population,No_health_services_pop,12_year_old_single_population,ID.1.1,avg_scholarity,home_count,average_number_in_home,GDP
613,665,Authority,Male,PRI,Funcionario(a),Municipal,Executive,Murder,No identificado,2022-06-20,Jalisco,14,8348151,4249689,4098448,2452513,2420768,1825.6772765015223,9.625217270965956,819.3075006919457,3.523448657625242,1216735.696
615,667,Authority,Male,No disponible,Ex-Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-22,Hidalgo,13,3082841,1601462,1481379,928550,805091,908.9313280363224,8.592979568671964,679.9188422247446,3.593098751418842,272452.995
614,666,Authority,Male,MC,Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Assault,Sujeto(s) armado(s),2022-06-24,Nuevo_Leon,19,5784442,2893492,2890950,1072664,1542048,1409.5,10.392601135557133,723.0997161107168,3.411085876508162,261684.516
618,669,Authority,Female,PRI,Alcalde(sa),Municipal,Executive,Armed Attack,Sujeto(s) armado(s),2022-06-24,Zacatecas,32,1622138,831080,791058,326238,406398,993.5205402363534,8.385649971862689,342.0528981429375,3.566724817107485,151882.034
622,672,Facility,Does not apply,PRI,Familiar,Municipal,Executive,Assault,Sujeto(s) armado(s),2022-06-24,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
623,673,Authority,Male,PVEM,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-25,San_Luis_Potosi,24,2822255,1449804,1372451,490284,771609,924.192414947016,8.61915225878416,537.85052983826,3.6098605688789736,261684.516
617,668,Authority,Male,PAN,Ex-Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-26,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
620,671,Authority,Male,PRD,Síndico(a),Municipal,Executive,Kidnapping,Sujeto(s) armado(s),2022-06-26,Michoacan_de_Ocampo,16,4748846,2442505,2306341,1784629,1197488,1352.850166481687,8.089049204587496,635.433962264151,3.633529411764706,261684.516
619,670,Authority,Male,MORENA,Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-06-27,Baja_California,2,3769020,1868424,1900583,836310,1085230,1047.178571428571,10.178268849206347,657.7127976190476,3.2020982142857144,261684.516
621,671,Authority,Male,PRD,Síndico(a),Municipal,Executive,Murder,No identificado,2022-06-27,Michoacan_de_Ocampo,16,4748846,2442505,2306341,1784629,1197488,1352.850166481687,8.089049204587496,635.433962264151,3.633529411764706,261684.516
